Name,Team,Position,Age,SF Value,Non-SF Value,Pick Number (10-team),Pick Number (12-team),Pick Number (16-team),Pick Number (20-team),Pick Number (32-team)
Zack Moss,CIN,RB,27.0,1575,1850,26.09,22.07,17.03,13.19,9.03
Ray-Ray McCloud,ATL,WR,28.0,1563,1766,26.10,22.08,17.04,13.20,9.04
Taysom Hill,NOS,QB,34.0,1540,1725,27.01,22.09,17.05,14.01,9.05
Dawson Knox,BUF,TE,28.0,1539,1670,27.02,22.10,17.06,14.02,9.06
Mac Jones,JAC,QB,26.0,1539,658,27.03,22.11,17.07,14.03,9.07
2025 Mid 4th,FA,PICK,,1528,1673,27.04,22.12,17.08,14.04,9.08
Juwan Johnson,NOS,TE,28.0,1516,1635,27.05,23.01,17.09,14.05,9.09
2026 Early 4th,FA,PICK,,1514,1636,27.06,23.02,17.10,14.06,9.10
Sincere McCormick,LVR,RB,24.0,1513,1596,27.07,23.03,17.11,14.07,9.11
Zach Ertz,WAS,TE,34.0,1512,1759,27.08,23.04,17.12,14.08,9.12
Kareem Hunt,KCC,RB,29.0,1511,1901,27.09,23.05,17.13,14.09,9.13
Gus Edwards,LAC,RB,29.0,1503,1680,27.10,23.06,17.14,14.10,9.14
Jalin Hyatt,NYG,WR,23.0,1480,1781,28.01,23.07,17.15,14.11,9.15
Aaron Rodgers,NYJ,QB,41.0,1468,1186,28.02,23.08,17.16,14.12,9.16
Tutu Atwell,LAR,WR,25.0,1464,1790,28.03,23.09,18.01,14.13,9.17
Tyler Lockett,SEA,WR,32.0,1449,1715,28.04,23.10,18.02,14.14,9.18
Sam Howell,SEA,QB,24.0,1444,920,28.05,23.11,18.03,14.15,9.19
Darnell Washington,PIT,TE,23.0,1440,1645,28.06,23.12,18.04,14.16,9.20
Khalil Herbert,CIN,RB,26.0,1440,1726,28.07,24.01,18.05,14.17,9.21
Rondale Moore,ATL,WR,24.0,1438,1547,28.08,24.02,18.06,14.18,9.22
2025 Late 4th,FA,PICK,,1437,1520,28.09,24.03,18.07,14.19,9.23
Darius Slayton,NYG,WR,28.0,1437,1688,28.10,24.04,18.08,14.20,9.24
Kenneth Gainwell,PHI,RB,25.0,1410,1601,29.01,24.05,18.09,15.01,9.25
2026 Mid 4th,FA,PICK,,1410,1499,29.02,24.06,18.10,15.02,9.26
Zamir White,LVR,RB,25.0,1397,1582,29.03,24.07,18.11,15.03,9.27
Chris Rodriguez,WAS,RB,25.0,1394,1576,29.04,24.08,18.12,15.04,9.28
Jonathan Mingo,DAL,WR,23.0,1392,1702,29.05,24.09,18.13,15.05,9.29
Jahan Dotson,PHI,WR,24.0,1382,1575,29.06,24.10,18.14,15.06,9.30
Gardner Minshew,LVR,QB,28.0,1381,809,29.07,24.11,18.15,15.07,9.31
AJ Barner,SEA,TE,22.0,1375,1614,29.08,24.12,18.16,15.08,9.32
Greg Dortch,ARI,WR,26.0,1371,1584,29.09,25.01,19.01,15.09,10.01
Xavier Hutchinson,HOU,WR,24.0,1359,1564,29.10,25.02,19.02,15.10,10.02
Jacob Cowing,SFO,WR,23.0,1343,1666,30.01,25.03,19.03,15.11,10.03
Dameon Pierce,HOU,RB,24.0,1341,1585,30.02,25.04,19.04,15.12,10.04
Noah Brown,WAS,WR,29.0,1339,1515,30.03,25.05,19.05,15.13,10.05
Dyami Brown,WAS,WR,25.0,1325,1468,30.04,25.06,19.06,15.14,10.06
2027 Early 4th,FA,PICK,,1325,1510,30.05,25.07,19.07,15.15,10.07
Colby Parkinson,LAR,TE,26.0,1300,1452,30.06,25.08,19.08,15.16,10.08
Bub Means,NOS,WR,24.0,1293,1580,30.07,25.09,19.09,15.17,10.09
Devontez Walker,BAL,WR,23.0,1280,1475,30.08,25.10,19.10,15.18,10.10
Curtis Samuel,BUF,WR,28.0,1278,1464,30.09,25.11,19.11,15.19,10.11
Deshaun Watson,CLE,QB,29.0,1255,791,30.10,25.12,19.12,15.20,10.12
Israel Abanikanda,SFO,RB,22.0,1241,1394,31.01,26.01,19.13,16.01,10.13
Kendrick Bourne,NEP,WR,29.0,1235,1372,31.02,26.02,19.14,16.02,10.14
Ty Johnson,BUF,RB,27.0,1222,1320,31.03,26.03,19.15,16.03,10.15
Ty Chandler,MIN,RB,26.0,1222,1418,31.04,26.04,19.16,16.04,10.16
