Name,Team,Position,Age,SF Value,Non-SF Value,Pick Number (10-team),Pick Number (12-team),Pick Number (16-team),Pick Number (20-team),Pick Number (32-team)
Clayton Tune,ARI,QB,25.0,295,160,49.02,41.02,31.02,25.02,16.02
Skylar Thompson,MIA,QB,27.0,289,176,49.03,41.03,31.03,25.03,16.03
Taylor Heinicke,LAC,QB,31.0,288,164,49.04,41.04,31.04,25.04,16.04
Nick Mullens,MIN,QB,29.0,277,150,49.05,41.05,31.05,25.05,16.05
Trent Sherfield,MIN,WR,28.0,272,314,49.06,41.06,31.06,25.06,16.06
Kadarius Toney,FA,WR,25.0,269,269,49.07,41.07,31.07,25.07,16.07
John Bates,WAS,TE,27.0,268,316,49.08,41.08,31.08,25.08,16.08
Michael Pratt,TBB,QB,23.0,266,162,49.09,41.09,31.09,25.09,16.09
Bailey Zappe,CLE,QB,25.0,257,162,49.10,41.10,31.10,25.10,16.10
Durham Smythe,MIA,TE,29.0,250,223,50.01,41.11,31.11,25.11,16.11
Braxton Berrios,MIA,WR,29.0,237,245,50.02,41.12,31.12,25.12,16.12
Nyheim Hines,CLE,RB,28.0,225,273,50.03,42.01,31.13,25.13,16.13
Isaiah Spiller,FA,RB,23.0,203,306,50.04,42.02,31.14,25.14,16.14
Evan Hull,FA,RB,24.0,189,238,50.05,42.03,31.15,25.15,16.15
Sam Ehlinger,IND,QB,26.0,175,164,50.06,42.04,31.16,25.16,16.16
Jamison Crowder,WAS,WR,31.0,169,195,50.07,42.05,32.01,25.17,16.17
Russell Gage,FA,WR,29.0,167,152,50.08,42.06,32.02,25.18,16.18
Matt Breida,FA,RB,29.0,166,130,50.09,42.07,32.03,25.19,16.19
Hunter Renfrow,FA,WR,29.0,166,137,50.10,42.08,32.04,25.20,16.20
