Name,Team,Position,Age,SF Value,Non-SF Value
Cole Kmet,CHI,TE,25,2505,3082
Cooper Kupp,LAR,WR,31,3006,3950
Cooper Rush,DAL,QB,31,1131,417
Cordarrelle Patterson,PIT,RB,33,393,386
Courtland Sutton,DEN,WR,29,3395,4241
Craig Reynolds,DET,RB,28,573,586
Curtis Samuel,BUF,WR,28,1278,1464
D'Andre Swift,CHI,RB,26,3111,3981
D'Ernest Johnson,JAC,RB,28,643,747
D'Onta Foreman,CLE,RB,28,689,716
Dak Prescott,DAL,QB,31,4246,3192
Dallas Goedert,PHI,TE,30,2381,2786
Dalton Kincaid,BUF,TE,25,3786,4656
Dalton Schultz,HOU,TE,28,2074,2375
Dameon Pierce,HOU,RB,24,1341,1585
Daniel Bellinger,NYG,TE,24,1215,1338
Daniel Jones,MIN,QB,27,1682,1096
Darius Slayton,NYG,WR,28,1437,1688
Darnell Mooney,ATL,WR,27,3108,3965
Darnell Washington,PIT,TE,23,1440,1645
Davante Adams,NYJ,WR,32,2958,3735
David Bell,CLE,WR,24,785,941
David Montgomery,DET,RB,27,4116,5312
David Moore,CAR,WR,30,837,942
David Njoku,CLE,TE,28,3220,4085
Davis Allen,LAR,TE,23,993,1135
Davis Mills,HOU,QB,26,552,166
Dawson Knox,BUF,TE,28,1539,1670
De'Von Achane,MIA,RB,23,6514,7337
DeAndre Hopkins,KCC,WR,32,2151,2644
Deebo Samuel,SFO,WR,29,2969,3824
DeeJay Dallas,ARI,RB,26,535,587
Demarcus Robinson,LAR,WR,30,1149,1346
Demario Douglas,NEP,WR,24,2425,3135
Deonte Harty,BAL,WR,27,302,406
Derek Carr,NOS,QB,33,2171,1557
Derius Davis,LAC,WR,24,894,949
Derrick Henry,BAL,RB,31,4390,5486
Deshaun Watson,CLE,QB,29,1255,791
Desmond Ridder,LVR,QB,25,854,382
Deuce Vaughn,DAL,RB,23,812,918
Devaughn Vele,DEN,WR,27,1952,2290
Deven Thompkins,CAR,WR,25,492,495
Devin Duvernay,JAC,WR,27,532,622
Devin Singletary,NYG,RB,27,1577,1838
DeVonta Smith,PHI,WR,26,5135,6061
Devontez Walker,BAL,WR,23,1280,1475
Diontae Johnson,HOU,WR,28,1745,2253
D.J. Chark,LAC,WR,28,756,780
D.J. Moore,CHI,WR,27,4304,5379
DJ Turner,LVR,WR,28,682,676
DK Metcalf,SEA,WR,27,4545,5579
Donovan Peoples-Jones,FA,WR,25,322,309
Dontayvion Wicks,GBP,WR,23,2498,3190
Dorian Thompson-Robinson,CLE,QB,25,967,704
Drake London,ATL,WR,23,6374,7107
Drake Maye,NEP,QB,22,6679,4811
Drew Lock,NYG,QB,28,1184,710
Drew Sample,CIN,TE,28,672,629
Durham Smythe,MIA,TE,29,250,223
Dyami Brown,WAS,WR,25,1325,1468
Dylan Laube,LVR,RB,25,1068,1274
Elijah Higgins,ARI,TE,24,933,1001
Elijah Mitchell,SFO,RB,26,1214,1406
Elijah Moore,CLE,WR,24,2118,2566
Emanuel Wilson,GBP,RB,25,1607,1912
Emari Demercado,ARI,RB,26,1116,1313
Eric Gray,NYG,RB,25,879,1019
Erick All,CIN,TE,24,1962,2285
Erik Ezukanma,MIA,WR,24,437,571
Evan Engram,JAC,TE,30,2448,3033
Evan Hull,FA,RB,24,189,238
Ezekiel Elliott,FA,RB,29,315,333
Foster Moreau,NOS,TE,27,1027,1113
Frank Gore Jr.,BUF,RB,22,967,1153
Gabriel Davis,JAC,WR,25,1641,1915
Gardner Minshew,LVR,QB,28,1381,809
Garrett Wilson,NYJ,WR,24,6335,7001
Geno Smith,SEA,QB,34,2859,2496
George Kittle,SFO,TE,31,3880,4846
George Pickens,PIT,WR,23,5190,6035
Gerald Everett,CHI,TE,30,462,487
Grant Calcaterra,PHI,TE,26,813,801
Greg Dortch,ARI,WR,26,1371,1584
Greg Dulcich,NYG,TE,24,1024,1175
Gus Edwards,LAC,RB,29,1503,1680
